Date,Month,Day,Calories_Burned,Steps,Minutes_Sedentary,Minutes_Lightly_Active,Minutes_Fairly_Active,Minutes_Very_Active,Activity_Calories,Minutes_Asleep,Minutes_Awake,Number_Awakenings,Time_In_Bed,Minutes_REM_Sleep,Minutes_Light_Sleep,Minutes_Deep_Sleep
12/9/2019,Dec,Mon,"2,917","11,984",728,221,27,43,"1,405",276,81,22,357,36,197,43
12/10/2019,Dec,Tue,"2,640","9,490",855,181,15,32,"1,126",347,64,37,411,74,185,88
12/11/2019,Dec,Wed,"2,640","8,974",777,212,12,28,"1,092",384,82,31,466,66,244,74
12/12/2019,Dec,Thu,"2,515","8,516",784,151,10,29,942,318,82,34,400,50,219,49
12/13/2019,Dec,Fri,"3,011","13,559",687,293,23,37,"1,605",380,49,37,429,92,191,97
12/14/2019,Dec,Sat,"3,382","17,749",642,222,64,83,"1,985",370,59,29,429,67,208,95
12/15/2019,Dec,Sun,"2,686","9,447",770,192,13,36,"1,187",320,61,24,381,85,173,62
12/16/2019,Dec,Mon,"2,472","8,460",855,171,9,24,942,322,74,28,396,34,229,59
12/17/2019,Dec,Tue,"2,570","9,069",788,236,4,16,"1,098",361,82,37,443,27,257,77
12/18/2019,Dec,Wed,"2,643","9,325",742,220,7,28,"1,143",342,56,36,398,65,216,61
12/19/2019,Dec,Thu,"2,525","8,303",798,226,5,13,"1,017",330,88,24,418,5,247,78
12/20/2019,Dec,Fri,"2,771","10,986",755,218,10,39,"1,299",307,58,22,365,59,220,28
12/21/2019,Dec,Sat,"2,642","8,168",835,202,12,26,"1,078",360,90,26,450,46,234,80
12/22/2019,Dec,Sun,"2,885","10,738",686,158,20,65,"1,363",326,75,26,401,53,205,68
12/23/2019,Dec,Mon,"2,535","8,232",812,210,1,16,979,374,77,34,451,80,204,90
12/24/2019,Dec,Tue,"2,727","8,970",766,175,5,43,"1,170",322,69,33,391,84,177,61
12/25/2019,Dec,Wed,"2,707","10,895",788,213,28,20,"1,237",236,64,16,300,8,221,7
12/26/2019,Dec,Thu,"2,743","10,538",892,213,4,31,"1,262",306,75,30,381,25,200,81
12/27/2019,Dec,Fri,"2,646","10,091",830,178,12,39,"1,121",335,101,33,436,34,226,107
12/28/2019,Dec,Sat,"2,614","8,997",720,184,9,27,"1,067",470,95,47,565,129,234,75
12/29/2019,Dec,Sun,"2,779","8,779",603,249,7,16,"1,253",317,61,26,378,43,229,45
12/30/2019,Dec,Mon,"2,798","12,380",819,173,20,50,"1,285",381,75,36,456,29,285,67
12/31/2019,Dec,Tue,"2,602","8,716",731,224,7,22,"1,094",348,76,32,424,91,173,42
1/1/2020,Jan,Wed,"2,748","10,399",723,160,16,56,"1,217",343,81,32,424,30,271,84
1/2/2020,Jan,Thu,"2,614","8,949",785,189,9,33,"1,066",311,74,25,385,17,258,36
1/3/2020,Jan,Fri,"2,721","10,507",820,179,21,35,"1,193",416,114,49,530,73,285,58
1/4/2020,Jan,Sat,"3,008","12,522",626,211,9,64,"1,531",374,83,35,457,34,249,91
1/5/2020,Jan,Sun,"2,837","13,182",722,147,41,73,"1,384",401,121,34,522,45,277,79
1/6/2020,Jan,Mon,"2,495","8,240",706,187,1,24,952,385,77,37,462,94,196,95
1/7/2020,Jan,Tue,"2,946","12,146",699,212,22,45,"1,485",368,79,34,447,95,203,70
1/8/2020,Jan,Wed,"2,988","10,302",695,265,23,10,"1,279",361,69,33,430,37,256,68
1/9/2020,Jan,Thu,"3,142","14,527",606,385,10,9,"1,810",276,85,22,361,37,199,40
1/10/2020,Jan,Fri,"2,839","12,711",742,293,18,26,"1,476",394,85,36,479,104,252,38
1/11/2020,Jan,Sat,"2,727","10,480",655,306,0,0,"1,284",446,104,46,550,84,294,68
1/12/2020,Jan,Sun,"3,230","16,417",510,289,64,27,"1,860",158,42,18,200,31,106,21
1/13/2020,Jan,Mon,"2,913","13,023",753,286,33,28,"1,538",132,8,1,140,N/A,N/A,N/A
1/14/2020,Jan,Tue,"3,104","13,880",445,267,57,45,"1,750",483,143,44,626,64,334,85
1/15/2020,Jan,Wed,"3,092","13,827",673,254,4,6,"1,157",423,80,41,503,27,342,54
1/16/2020,Jan,Thu,"2,708","11,680",718,137,12,65,"1,220",409,99,40,508,68,258,83
1/17/2020,Jan,Fri,"3,255","19,521",630,127,61,111,"1,874",422,89,46,511,82,275,103
1/18/2020,Jan,Sat,"2,525","8,710",605,108,18,55,986,529,125,60,654,67,359,65
1/19/2020,Jan,Sun,"2,787","10,579",699,196,14,60,"1,256",391,80,43,471,28,304,59
1/20/2020,Jan,Mon,"2,688","10,239",674,132,13,66,"1,156",451,104,48,555,52,305,94
1/21/2020,Jan,Tue,"2,509","8,470",816,151,4,44,947,349,76,32,425,84,232,33
1/22/2020,Jan,Wed,"2,489","8,183","1,225",178,14,23,969,152,36,13,188,17,113,22
1/23/2020,Jan,Thu,"2,481","8,238","1,244",171,2,23,916,323,90,29,413,18,246,59
1/24/2020,Jan,Fri,"2,540","8,399","1,228",171,10,31,969,377,69,37,446,78,225,74
1/25/2020,Jan,Sat,"2,558","8,237","1,260",113,17,50,996,411,99,41,510,43,276,92
1/26/2020,Jan,Sun,"2,436","7,083","1,241",177,5,17,867,377,77,33,454,86,234,57
1/27/2020,Jan,Mon,"2,599","8,955","1,231",195,6,8,"1,022",378,76,27,454,86,236,56
1/28/2020,Jan,Tue,"2,768","10,294","1,198",194,12,36,"1,216",345,57,36,402,39,234,72
1/29/2020,Jan,Wed,"2,640","10,254","1,027",191,8,26,"1,077",199,59,19,258,4,161,34
1/30/2020,Jan,Thu,"2,485","8,433",813,187,2,25,953,335,58,27,393,53,210,72
1/31/2020,Jan,Fri,"2,504","8,219",778,205,3,8,946,321,67,34,388,79,168,74
2/1/2020,Feb,Sat,"2,608","8,921",731,154,10,35,"1,050",400,83,38,483,54,271,75
2/2/2020,Feb,Sun,"2,953","9,751",665,259,22,40,"1,493",273,66,22,339,46,190,37
2/3/2020,Feb,Mon,"2,718","11,197",746,210,6,24,"1,189",294,72,25,366,45,189,60
2/4/2020,Feb,Tue,"2,814","10,244",790,206,3,39,"1,268",504,135,55,639,88,308,108
2/5/2020,Feb,Wed,"2,697","10,746","1,207",203,3,27,"1,137",NA,NA,NA,NA,NA,NA,NA
2/6/2020,Feb,Thu,"2,554","8,487","1,207",207,3,23,"1,017",NA,NA,NA,NA,NA,NA,NA
2/7/2020,Feb,Fri,"2,521","8,087","1,233",182,6,19,941,NA,NA,NA,NA,NA,NA,NA
2/8/2020,Feb,Sat,"2,835","11,435","1,177",225,23,15,"1,315",199,59,19,258,4,161,34
2/9/2020,Feb,Sun,"2,809","10,204",978,134,20,50,"1,219",335,58,27,393,53,210,72
2/10/2020,Feb,Mon,"2,893","11,727",769,248,6,24,"1,344",321,67,34,388,79,168,74
2/11/2020,Feb,Tue,"2,697","9,573",816,191,7,38,"1,130",400,83,38,483,54,271,75
2/12/2020,Feb,Wed,"2,665","10,163",733,188,8,28,"1,078",273,66,22,339,46,190,37
2/13/2020,Feb,Thu,"2,871","11,760",847,173,23,58,"1,332",294,72,25,366,45,189,60
2/14/2020,Feb,Fri,"2,796","10,156",800,247,4,23,"1,243",504,135,55,639,88,308,108
2/15/2020,Feb,Sat,"2,640","8,967",589,152,12,48,"1,093",364,106,29,470,77,208,79
2/16/2020,Feb,Sun,"2,882","11,844",701,193,12,64,"1,394",328,80,37,408,77,191,60
2/17/2020,Feb,Mon,"2,526","8,280","1,022",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2/18/2020,Feb,Tue,"2,966","12,259",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2/19/2020,Feb,Wed,"2,723","10,397",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2/20/2020,Feb,Thu,"2,597","8,634",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2/21/2020,Feb,Fri,"2,698","9,317",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2/22/2020,Feb,Sat,"2,784","12,162",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2/23/2020,Feb,Sun,"2,680","9,255","1,232",145,14,49,"1,111",NA,NA,NA,NA,NA,NA,NA
